ID,Ano,Dia Juliano,Hora - minuto,Temperatura,Umidade
500,2017,4,1130,26.85,67.16
501,2017,4,1140,27.08,66.61
502,2017,4,1150,27.38,65.63
503,2017,4,1200,27.92,62.78
504,2017,4,1210,27.83,63.45
505,2017,4,1220,27.95,62.0
506,2017,4,1230,28.05,62.91
507,2017,4,1240,28.44,62.09
508,2017,4,1250,28.46,61.55
509,2017,4,1300,28.44,57.7
510,2017,4,1310,28.37,59.42
511,2017,4,1320,28.37,59.92
512,2017,4,1330,28.27,60.98
513,2017,4,1340,28.43,61.26
514,2017,4,1350,28.47,59.85
515,2017,4,1400,28.62,58.68
516,2017,4,1410,28.59,59.25
517,2017,4,1420,28.65,60.25
518,2017,4,1430,28.72,60.05
519,2017,4,1440,26.65,67.66
520,2017,4,1450,25.12,74.1
521,2017,4,1500,25.7,71.0
522,2017,4,1510,25.83,70.3
523,2017,4,1520,25.81,71.9
524,2017,4,1530,25.54,75.3
525,2017,4,1540,26.09,74.2
526,2017,4,1550,26.68,71.2
527,2017,4,1600,27.8,67.16
528,2017,4,1610,27.93,66.49
529,2017,4,1620,28.27,64.87
530,2017,4,1630,28.66,64.22
531,2017,4,1640,28.92,61.47
532,2017,4,1650,28.71,62.24
533,2017,4,1700,28.85,62.12
534,2017,4,1710,28.49,62.84
535,2017,4,1720,27.84,66.52
536,2017,4,1730,27.29,69.39
537,2017,4,1740,26.86,71.9
538,2017,4,1750,26.45,74.5
539,2017,4,1800,26.27,77.5
540,2017,4,1810,25.86,79.5
541,2017,4,1820,26.06,78.3
542,2017,4,1830,25.85,76.9
543,2017,4,1840,25.45,77.5
544,2017,4,1850,25.38,76.0
545,2017,4,1900,24.99,80.0
546,2017,4,1910,24.45,82.5
547,2017,4,1920,24.31,82.3
548,2017,4,1930,24.44,80.9
549,2017,4,1940,24.71,78.0
550,2017,4,1950,25.06,76.2
551,2017,4,2000,24.38,81.3
552,2017,4,2010,24.25,82.9
553,2017,4,2020,24.37,81.2
554,2017,4,2030,25.04,74.6
555,2017,4,2040,25.55,71.6
556,2017,4,2050,25.43,72.3
557,2017,4,2100,25.14,73.4
558,2017,4,2110,25.04,73.6
559,2017,4,2120,25.07,73.4
560,2017,4,2130,25.07,73.6
561,2017,4,2140,24.93,74.2
562,2017,4,2150,24.64,77.8
563,2017,4,2200,24.59,78.7
564,2017,4,2210,24.42,79.5
565,2017,4,2220,24.19,81.2
566,2017,4,2230,24.05,81.7
567,2017,4,2240,24.25,80.8
568,2017,4,2250,24.26,80.6
569,2017,4,2300,24.06,81.7
570,2017,4,2310,24.06,81.5
571,2017,4,2320,24.06,80.9
572,2017,4,2330,24.14,80.0
573,2017,4,2340,24.08,80.0
574,2017,4,2350,23.94,81.0
575,2017,4,2400,23.88,80.9
576,2017,5,10,23.78,81.3
577,2017,5,20,23.68,81.5
578,2017,5,30,23.71,81.7
579,2017,5,40,23.57,82.7
580,2017,5,50,23.61,82.8
581,2017,5,100,23.41,84.6
582,2017,5,110,23.29,85.2
583,2017,5,120,23.34,85.6
584,2017,5,130,23.34,85.8
585,2017,5,140,23.37,85.2
586,2017,5,150,23.15,86.3
587,2017,5,200,22.98,87.3
588,2017,5,210,23.01,87.3
589,2017,5,220,23.02,88.3
590,2017,5,230,23.14,87.6
591,2017,5,240,23.0,87.8
592,2017,5,250,22.65,88.4
593,2017,5,300,22.88,87.3
594,2017,5,310,22.84,87.9
595,2017,5,320,22.84,88.5
596,2017,5,330,22.79,89.0
597,2017,5,340,22.64,90.0
598,2017,5,350,22.51,90.7
599,2017,5,400,22.38,91.1
600,2017,5,410,22.19,91.9
601,2017,5,420,22.2,92.1
602,2017,5,430,21.93,92.7
603,2017,5,440,21.64,93.3
604,2017,5,450,21.43,95.0
605,2017,5,500,21.33,95.9
606,2017,5,510,21.46,96.4
607,2017,5,520,21.68,95.5
608,2017,5,530,21.71,95.1
609,2017,5,540,21.66,95.2
610,2017,5,550,21.61,95.5
611,2017,5,600,21.64,95.6
612,2017,5,610,21.75,95.5
613,2017,5,620,21.99,95.0
614,2017,5,630,22.23,94.7
615,2017,5,640,22.62,93.5
616,2017,5,650,23.58,88.4
617,2017,5,700,23.59,87.1
618,2017,5,710,23.81,86.7
619,2017,5,720,24.29,84.3
620,2017,5,730,24.73,82.9
621,2017,5,740,24.84,81.7
622,2017,5,750,24.76,81.6
623,2017,5,800,24.68,82.8
624,2017,5,810,24.92,82.1
625,2017,5,820,25.11,81.2
626,2017,5,830,25.39,78.5
627,2017,5,840,26.05,76.6
628,2017,5,850,26.43,74.6
629,2017,5,900,26.24,73.8
630,2017,5,910,26.38,74.0
631,2017,5,920,26.78,71.7
632,2017,5,930,27.07,69.77
