ts,Hora,Hmax,cluster
2018-06-19,14,28.10056504560059,0
2018-06-20,14,27.82284593803432,0
2018-06-21,14,27.532937133804158,0
2018-06-22,12,27.301926604525853,0
2018-06-23,14,28.767511740763155,0
2018-06-24,14,29.57348228238249,0
2018-06-25,13,28.29115216189977,0
2018-06-26,14,28.136507702625046,0
2018-06-27,14,29.25216441831984,0
2018-06-28,15,29.768648193712824,0
2018-06-29,14,27.069413149440997,0
2018-06-30,15,27.689558278357588,0
2018-07-01,13,27.69056136518055,0
2018-07-02,12,28.473649111580745,0
2018-07-03,14,29.14597388445487,0
2018-07-04,14,29.02694513382269,0
2018-07-05,13,28.96846799997665,0
2018-07-06,14,28.75231338679105,0
2018-07-07,13,26.47136099193727,0
2018-07-08,14,27.44316431469841,0
2018-07-09,14,27.596458634480893,0
2018-07-10,15,18.614000450867838,0
2018-07-11,14,19.022482912266256,0
2018-07-12,14,20.13686243796285,0
2018-07-13,14,20.88468526300107,0
2018-07-14,14,26.26509891226141,0
2018-07-15,14,27.73912340819253,0
2018-07-16,14,28.665903079566608,0
2018-07-17,14,28.06569309041172,0
2018-07-18,15,28.994095921345238,0
2018-07-19,15,29.476747674426623,0
2018-07-20,15,29.66899277866955,0
2018-07-21,14,29.793311337331254,0
2018-07-22,14,28.968709524293317,0
2018-07-23,15,27.830525540123386,0
2018-07-24,14,26.921104941392798,0
2018-07-25,14,27.3261989964703,0
2018-07-26,15,27.231505418870444,0
2018-07-27,14,27.173390608755593,0
2018-07-28,14,28.25581188723909,0
2018-07-29,14,29.645119332704198,0
2018-07-30,15,29.57034519239306,0
2018-07-31,15,24.16497084753477,0
2018-08-01,14,18.961892571890566,0
2018-08-02,13,25.44727257497731,0
2018-08-03,15,20.443131783594858,0
2018-08-04,14,23.837003171602355,0
2018-08-05,14,23.567238288008035,0
2018-08-06,0,19.346569200616297,0
2018-08-07,15,26.88184458824991,0
2018-08-08,14,29.398536615062923,0
2018-08-09,14,29.142907548434053,0
2018-08-10,15,20.844455059731906,0
2018-08-11,15,21.210810610277786,0
2018-08-12,15,22.68908336572443,0
2018-08-13,15,25.239982844609102,0
2018-08-14,15,27.373386984960646,0
2018-08-15,13,28.38871176611362,0
2018-08-16,13,23.735672414943643,0
2018-08-17,14,25.87458039477821,0
2018-08-18,14,27.37441007559958,0
2018-08-19,14,27.35908027252924,0
2018-08-20,15,28.78835333965054,0
2018-08-21,15,28.70185742977054,0
2018-08-22,14,27.699914692481656,0
2018-08-23,15,29.409836742716713,0
2018-08-24,12,31.14055829839043,0
2018-08-25,12,26.671868704103783,0
2018-08-26,2,22.212998053411997,0
2018-08-27,14,27.01683258653582,0
2018-08-28,16,29.335061676237633,0
2018-08-29,14,28.49204003995736,0
2018-08-30,13,29.15536392983385,0
2018-08-31,15,30.43395351031672,0
2018-09-01,15,32.0114618109721,1
2018-09-02,14,32.972657295554896,1
2018-09-03,11,28.386251007602105,0
2018-09-04,16,18.47109671430313,0
2018-09-05,14,19.965613540997705,0
2018-09-06,15,26.78440622758644,0
2018-09-07,13,29.273413565713753,0
2018-09-08,14,29.536696940604987,0
2018-09-09,13,29.2509358314603,0
2018-09-10,15,28.856107165906018,0
2018-09-11,14,29.002334314013037,0
2018-09-12,14,30.181805642908696,0
2018-09-13,15,32.01012901719676,0
2018-09-14,13,23.07572722397729,0
2018-09-15,15,27.282464612290735,0
2018-09-16,14,28.801823465350274,0
2018-09-17,18,23.60963506457555,0
2018-09-18,11,27.3263279308372,0
2018-09-19,14,33.970928413613464,1
2018-09-20,15,26.262373235480407,0
2018-09-21,15,30.55170648697637,1
2018-09-22,15,31.65905983383509,1
2018-09-23,15,33.879553035525234,1
2018-09-24,13,34.808180292370984,1
2018-09-25,15,36.19036000983381,1
2018-09-26,13,34.71750748859986,1
2018-09-27,11,33.94483296197993,1
2018-09-28,14,30.459357407012,1
2018-09-29,14,34.511506702970394,1
2018-09-30,12,34.74993746510329,1
2018-10-01,16,32.956869025645425,1
2018-10-02,13,35.42981986622093,1
2018-10-03,14,39.453781472560884,1
2018-10-04,14,35.9049935195627,1
2018-10-05,12,32.055913821741555,0
2018-10-06,13,27.90034616498108,0
2018-10-07,14,31.152701786143066,1
2018-10-08,16,30.18489907100191,1
2018-10-09,13,35.45431689856304,1
2018-10-10,16,37.194227168233965,1
2018-10-11,14,32.44134698024917,1
2018-10-12,14,39.202505859929936,1
2018-10-13,13,39.310018404107105,1
2018-10-14,13,36.54411217303247,1
2018-10-15,23,32.0814985833608,1
2018-10-16,14,38.483361977688816,1
2018-10-17,13,37.18650910278331,1
2018-10-18,15,37.84800179850385,1
2018-10-19,12,33.11248656890536,1
2018-10-20,15,27.59446071694912,0
2018-10-21,15,30.29030098684121,0
2018-10-22,15,34.99659581858075,1
2018-10-23,14,37.236461715131924,1
2018-10-24,15,27.860868669038343,1
2018-10-25,16,29.73079598925418,1
2018-10-26,14,34.332875550704664,1
2018-10-27,0,32.26596101651258,1
2018-10-28,0,27.818939015672434,1
2018-10-29,15,30.99414100101569,0
2018-10-30,15,36.736905865566314,1
2018-10-31,13,40.22078381542511,1
2018-11-01,13,35.83625926219364,1
2018-11-02,15,39.14531890337169,1
2018-11-03,14,39.186044669985264,1
2018-11-04,14,32.91984251431929,1
2018-11-05,14,30.877418542395304,1
2018-11-06,15,33.987268807420755,1
2018-11-07,11,34.644686049366555,1
2018-11-08,13,27.739147112064785,0
2018-11-09,12,30.206240401946825,1
2018-11-10,17,31.1209245628447,1
2018-11-11,14,36.89953064558628,1
2018-11-12,16,39.483219239320285,1
2018-11-13,15,39.62334708948266,1
2018-11-14,13,39.34588523668988,1
2018-11-15,15,40.45953293331958,1
2018-11-16,13,40.331986165549296,1
2018-11-17,15,37.9160788148897,1
2018-11-18,13,35.61696160066881,1
2018-11-19,0,28.370627207266676,0
2018-11-20,13,30.43891806971152,0
2018-11-21,12,30.521977715633522,1
2018-11-22,13,34.69968612784884,1
2018-11-23,13,35.90203375614389,1
2018-11-24,15,31.59780933715653,1
2018-11-25,14,36.36901017659913,1
2018-11-26,13,32.19734563733995,1
2018-11-27,16,35.22868294665963,1
2018-11-28,15,36.49194434499289,1
2018-11-29,13,36.77540508632116,1
2018-11-30,15,38.670423794150274,1
2018-12-01,12,33.47858759210829,1
2018-12-02,14,35.595769033927006,1
2018-12-03,14,33.11295658859572,1
2018-12-04,16,36.04296218953967,1
2018-12-05,14,38.028860555295616,1
2018-12-06,12,37.73978014605885,1
2018-12-07,14,36.023449321900436,1
2018-12-08,13,26.77816596917629,0
2018-12-09,16,32.57359229143449,0
2018-12-10,15,35.37851358088057,1
2018-12-11,15,37.108796841567134,1
2018-12-12,16,38.14940946490879,1
2018-12-13,15,39.00962470212613,1
2018-12-14,15,38.845110728881664,1
2018-12-15,15,40.63890586192888,1
2018-12-16,13,40.981104090646404,1
2018-12-17,15,42.03931128289837,1
2018-12-18,15,42.03925045381549,1
2018-12-19,14,39.71268905838541,1
2018-12-20,16,41.49270882464009,1
2018-12-21,14,42.2337222924992,1
2018-12-22,13,40.516886120902775,1
2018-12-23,15,38.46674679998935,1
2018-12-24,14,36.85106575350153,1
2018-12-25,16,33.91291482426916,1
2018-12-26,13,35.643373232432424,1
2018-12-27,14,37.66249543456132,1
2018-12-28,14,38.317248696985146,1
2018-12-29,14,38.725257187989065,1
2018-12-30,14,39.879395724205935,1
2018-12-31,12,38.147286093096845,1
2020-01-01,16,38.986312117416276,1
2020-01-02,15,38.22952183799929,1
2020-01-03,15,34.12290615983041,1
2020-01-04,16,35.599449163167954,1
2020-01-05,14,36.10080258712061,1
2020-01-06,16,37.62811840212345,1
2020-01-07,15,40.234232037936394,1
2020-01-08,13,38.47701935435215,1
2020-01-09,15,40.18095644026431,1
2020-01-10,16,40.94497945801502,1
2020-01-11,12,40.859053073094785,1
2020-01-12,14,39.92768429998677,1
2020-01-13,15,35.70718119042087,1
2020-01-14,14,39.92768429998677,1
2020-01-15,14,40.6717852484638,1
2020-01-16,15,42.29380434150854,1
2020-01-17,1,31.59342003679243,1
2020-01-18,16,34.824128565708264,1
2020-01-19,14,36.84413031322698,1
2020-01-20,14,36.84413031322698,1
2020-01-21,14,35.90217364550418,1
2020-01-22,14,35.90217364550418,1
2020-01-23,15,33.0096825854118,1
2020-01-24,13,32.24864756003519,1
2020-01-25,15,34.54368736631363,1
2020-01-26,16,33.59683009901051,1
2020-01-27,15,33.8555797905575,1
2020-01-28,16,35.775820988646345,1
2020-01-29,14,39.39219135953429,1
2020-01-30,14,38.58006755015909,1
2020-01-31,13,39.24374508939732,1
2020-02-01,14,38.560039064297705,1
2020-02-02,14,38.01255733994945,1
2020-02-03,13,38.560039064297705,1
2020-02-04,14,37.966265419790226,1
2020-02-05,15,37.28655106797695,1
2020-02-06,15,36.45622565290924,1
2020-02-07,17,34.68533114601316,1
2020-02-08,15,36.238025397896656,1
2020-02-09,15,37.11629226220789,1
2020-02-10,16,31.492392470882407,1
2020-02-11,15,29.696457390536494,1
2020-02-12,16,29.86062355416597,1
2020-02-13,17,35.191296526088145,1
2020-02-14,16,37.3554009159322,1
2020-02-15,15,39.12371586782099,1
2020-02-16,14,40.36194055555797,1
2020-02-17,15,40.26794598381967,1
2020-02-18,12,39.16786787915415,1
2020-02-19,14,40.050517959903424,1
2020-02-20,15,40.6717852484638,1
2020-02-21,10,33.38134364025553,1
2020-02-22,15,29.52166419694377,1
2020-02-23,14,32.12088211464305,1
2020-02-24,13,35.48641803424272,1
2020-02-25,10,33.33681452015452,1
2020-02-26,1,28.687718632660516,0
2020-02-27,13,28.987337730543693,1
2020-02-28,17,34.9776210614785,1
2020-02-29,17,34.9776210614785,1
2020-03-01,14,31.13042576419028,1
2020-03-02,15,32.075709258917534,1
2020-03-03,16,31.961637155684684,1
2020-03-04,16,34.084778656154626,1
