ts,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2018-05-03,24.095444028390126,23.577656502543597,22.997174099373833,22.252294608033207,21.6583728279996,21.4215584035198,21.129600416862278,22.652527582694322,25.115520312654702,27.910526655869695,29.137239324477466,30.156370898771428,30.441612860464865,30.745426667678977,31.393636610367178,30.987037507729454,30.558557573058987,28.953107468569357,26.167972973859328,25.340591440078516,25.18385352162285,23.803016376641505,23.39423575800037,22.881274334393932
2018-05-04,22.72729905647801,22.46612149915159,22.097688860486315,21.25216726077869,19.895664198400862,19.552514654526597,19.21827230575053,20.83059078670244,24.223364626515178,27.510242799058137,29.40504196682448,30.10899891045057,30.769917031025834,30.994310352293727,31.457297825454805,31.659816288735623,30.89788765196646,29.628783932699484,26.717815614143827,25.614029328207014,25.322729837465342,24.710545405727313,24.187469800510183,23.968944378584624
2018-05-05,23.684016643976584,22.97131161645508,22.70511982792489,22.540978272490765,22.075103612288437,21.04598216745051,20.19066171204303,21.67793713199666,25.16609395135653,28.591342351965245,30.41897738114185,31.51153959406232,32.269960823451605,32.627272357896054,32.967151044001604,32.62226523830264,31.82118035757474,28.735681355219057,27.116294578827016,26.71568408263041,26.955181546058075,27.093230068938297,26.53292506079159,25.705113216231837
2018-05-06,25.2043480245508,24.390802044842555,23.719540250251832,22.831601297476794,22.786060044440475,22.1268466823687,21.136767379759902,22.39677382693683,24.959509884120372,28.143114227379616,30.368208216276027,31.83397382803667,32.60000851041798,31.835432323875395,31.119333190366056,31.36610603508233,29.702760925623117,28.248424157623244,27.096770814552265,25.7324922862055,24.655636149497422,23.713767197623913,22.912428991445747,22.257402642060146
2018-05-07,22.224951425718757,21.985376306042046,21.550054563999424,21.418028491975413,21.314389547372024,20.92525980285424,20.931567707656345,22.185968684343308,24.90005024764886,26.951628964601735,28.457235543133958,29.430206145715417,30.465908312628315,30.537878349109217,30.68178703174666,30.60351115168562,29.658682128604607,27.837387966658458,26.249300627456407,24.955853369790677,23.95570707060274,23.265244540575353,22.699896074663926,22.136514842918285
2018-05-08,21.735091094177324,21.26545378582392,20.94110979298795,20.920537276978493,20.518416550021335,20.160387155671252,20.17092918321638,21.515374120381214,24.26382815463765,26.44747111256985,28.01801446242597,29.34626410465708,29.43445876854175,30.24296592150616,30.674241107934538,30.178302212218973,29.01576909878379,27.1749677268593,25.84207090980168,24.99189554769304,23.893798911937434,22.838790239612134,21.842636655410924,21.520421394728405
2018-05-09,21.34229994881644,21.044085668092258,20.774619116056694,20.394226186588043,20.052726338126842,19.923098645028055,19.665445145778232,20.67405362403395,23.00307736993943,25.331830179486893,27.12352320540141,28.719982338883952,29.585470860575832,29.861962474861116,30.021562858506933,29.71945618387647,29.05697650737812,26.64788142940973,24.232787418172162,22.901336473190234,21.777624141266134,21.484003980506863,21.21641035479193,21.14561492342728
2018-05-10,20.6321943936971,20.23437320038237,19.623047588727896,19.154350460833868,18.780602874620822,18.349964666534717,17.88818434554975,18.920804533234573,22.367911437283436,23.75701842764332,25.494228278136763,27.066135857583667,27.755061964714976,27.967554874317727,28.169404867116747,27.954504220166612,27.776292858621343,26.07697241698838,23.700501436531553,23.488914720604587,22.101118317879735,21.090362080002357,19.85489551050198,19.482673497128598
2018-05-11,19.212631018146087,18.63532212311738,18.238314045466097,18.120727703056968,17.98974601617893,17.40219457502465,16.891113454196546,18.546129532445786,22.06277891973991,24.21899742819891,26.76264133090021,28.862190259540967,29.755676045034438,29.872005002628136,30.521688575620246,30.04119236662994,29.154808008256534,28.120420783809685,27.026739121066555,25.8218443120379,24.643595725834075,23.67018275327101,22.981767371857895,22.32014889986116
2018-05-12,22.004242423555784,21.927056984470312,21.753127090328924,20.870217999710267,20.551295434660094,20.576038014870157,20.40984268952042,20.79345593465162,21.788935193228696,24.232928187558475,26.870820531823355,29.113110055132548,29.74604343865698,30.216144367441416,30.4177057231895,30.219945924411114,30.08908933757163,29.323133463738337,27.817319516544202,26.52589567225446,26.296385360348474,23.981399570521294,23.19276844139542,22.835843076661128
2018-05-13,22.610370592752215,22.19330707382687,21.80975539932498,21.375033704791207,21.166616004495324,21.543162628109776,21.708399733882224,22.195276432418595,24.521101173976085,26.634660207882085,27.892650573910707,28.924059685406913,29.57946579131165,29.699705885828422,30.037302538352172,29.674683488384847,29.02936280153348,27.519106487588218,25.229213400007268,24.0295738539537,22.739108449560234,21.919832482758515,21.37522952725761,21.258911664792105
